id,marca,produto,geracao,ano,status,cabeca_sq_in,comprimento_in,peso_g_sem_corda,balanco_mm,padrao_cordas,viga_mm,tensao_min_lbs,tensao_max_lbs,empunhaduras,estado_atual,disponibilidade_brasil,CONFERE? (S/N),O QUE ESTA ERRADO,VALOR CORRETO,URL DA FONTE OFICIAL,AINDA E LINHA ATUAL? (S/N),OBSERVACOES
babolat-pure-aero-gen-9-2026,Babolat,Babolat Pure Aero (2026),Gen 9 (2026),2026,current,100,27,300,320,16x19,23/26/23,46,55,1 / 2 / 3 / 4,pending_verification,available,,,,,,
babolat-pure-aero-98-gen-9-2026,Babolat,Babolat Pure Aero 98 (2026),Gen 9 (2026),2026,current,98,27,305,315,16x20,21/23/22,46,55,1 / 2 / 3 / 4,pending_verification,available,,,,,,
babolat-pure-aero-team-gen-9-2026,Babolat,Babolat Pure Aero Team (2026),Gen 9 (2026),2026,current,100,27,285,320,16x19,23/26/23,44,53,1 / 2 / 3,pending_verification,available,,,,,,
babolat-pure-aero-lite-gen-9-2026,Babolat,Babolat Pure Aero Lite (2026),Gen 9 (2026),2026,current,100,27,270,330,16x19,23/26/23,44,53,1 / 2 / 3,pending_verification,available,,,,,,
babolat-pure-drive-gen-11-2025,Babolat,Babolat Pure Drive (2025),Gen 11 (2025),2025,current,100,27,300,320,16x19,23/26/23,46,55,1 / 2 / 3 / 4,pending_verification,available,,,,,,
babolat-pure-drive-team-gen-11-2025,Babolat,Babolat Pure Drive Team (2025),Gen 11 (2025),2025,current,100,27,285,320,16x19,23/26/23,44,53,1 / 2 / 3,pending_verification,available,,,,,,
babolat-pure-drive-98-gen-11-2025,Babolat,Babolat Pure Drive 98 (2025),Gen 11 (2025),2025,current,98,27,305,325,16x20,21/23/22,46,55,1 / 2 / 3 / 4,pending_verification,available,,,,,,
babolat-pure-drive-107-gen-11-2025,Babolat,Babolat Pure Drive 107 (2025),Gen 11 (2025),2025,current,107,27.2,285,320,16x19,23/26/23,44,53,1 / 2 / 3,pending_verification,available,,,,,,
babolat-pure-strike-16x19-gen-4-2024,Babolat,Babolat Pure Strike 16x19 Gen 4 (2024),Gen 4 (2024),2024,current,98,27,305,320,16x19,21/23/21,48,57,1 / 2 / 3 / 4,pending_verification,available,,,,,,
babolat-pure-strike-18x20-gen-4-2024,Babolat,Babolat Pure Strike 18x20 Gen 4 (2024),Gen 4 (2024),2024,current,98,27,305,320,18x20,21/23/21,48,57,1 / 2 / 3 / 4,pending_verification,available,,,,,,
babolat-pure-strike-100-16x19-gen-4-2024,Babolat,Babolat Pure Strike 100 16x19 Gen 4 (2024),Gen 4 (2024),2024,current,100,27,300,320,16x19,21/23/21,48,57,1 / 2 / 3 / 4,pending_verification,available,,,,,,
babolat-pure-strike-team-gen-4-2024,Babolat,Babolat Pure Strike Team Gen 4 (2024),Gen 4 (2024),2024,current,100,27,285,325,16x19,21/23/21,46,55,1 / 2 / 3,pending_verification,available,,,,,,
head-speed-mp-2026,HEAD,HEAD Speed MP (2026),2026,2026,current,100,27,300,320,16x19,23/23/23,48,57,1 / 2 / 3 / 4,pending_verification,available,,,,,,
head-speed-pro-2026,HEAD,HEAD Speed Pro (2026),2026,2026,current,100,27,310,310,18x20,23/23/23,48,57,1 / 2 / 3 / 4,pending_verification,available,,,,,,
head-speed-tour-2026,HEAD,HEAD Speed Tour (2026),2026,2026,current,97,27,305,315,16x19,23,48,57,1 / 2 / 3 / 4,pending_verification,available,,,,,,
head-speed-team-2026,HEAD,HEAD Speed Team (2026),2026,2026,current,105,27,270,325,16x19,24/24/24,48,57,1 / 2 / 3,pending_verification,available,,,,,,
head-speed-mp-l-2026,HEAD,HEAD Speed MP L (2026),2026,2026,current,100,27,285,325,16x19,23/23/23,48,57,1 / 2 / 3,pending_verification,available,,,,,,
head-extreme-mp-2026,HEAD,HEAD Extreme MP (2026),2026,2026,current,100,27,300,320,16x19,23/26/21,48,57,1 / 2 / 3 / 4,pending_verification,available,,,,,,
head-extreme-pro-2026,HEAD,HEAD Extreme Pro (2026),2026,2026,current,98,27,305,315,16x19,22/23/21,48,57,1 / 2 / 3 / 4,pending_verification,available,,,,,,
head-radical-mp-2025,HEAD,HEAD Radical MP (2025),2025,2025,current,98,27,300,320,16x19,20/23/21,48,57,1 / 2 / 3 / 4,pending_verification,available,,,,,,
head-radical-pro-2025,HEAD,HEAD Radical Pro (2025),2025,2025,current,98,27,315,315,16x19,20/21.5/21,48,57,1 / 2 / 3 / 4,pending_verification,available,,,,,,
head-radical-team-2025,HEAD,HEAD Radical Team (2025),2025,2025,current,102,27,280,320,16x19,22/25/23,48,57,1 / 2 / 3,pending_verification,available,,,,,,
head-gravity-pro-2025,HEAD,HEAD Gravity Pro (2025),2025,2025,current,100,27,315,310,18x20,20,48,57,1 / 2 / 3 / 4,pending_verification,available,,,,,,
head-gravity-mp-2025,HEAD,HEAD Gravity MP (2025),2025,2025,current,100,27,295,325,16x20,22/22/22,48,57,1 / 2 / 3 / 4,pending_verification,available,,,,,,
head-boom-mp-2026,HEAD,HEAD Boom MP (2026),2026,2026,current,100,27,295,315,16x19,24/24/24,48,57,1 / 2 / 3 / 4,pending_verification,available,,,,,,
wilson-blade-98-16x19-v10-2026,Wilson,Wilson Blade 98 16x19 v10 (2026),v10 (2026),2026,current,98,27,305,320,16x19,21.6/20.6,50,60,1 / 2 / 3 / 4,pending_verification,available,,,,,,
wilson-blade-98-18x20-v10-2026,Wilson,Wilson Blade 98 18x20 v10 (2026),v10 (2026),2026,current,98,27,305,320,18x20,21.6/20.6,50,60,1 / 2 / 3 / 4,pending_verification,available,,,,,,
wilson-blade-100-v10-2026,Wilson,Wilson Blade 100 v10 (2026),v10 (2026),2026,current,100,27,300,320,16x19,22/22/22,50,60,1 / 2 / 3 / 4,pending_verification,available,,,,,,
wilson-blade-100l-v10-2026,Wilson,Wilson Blade 100L v10 (2026),v10 (2026),2026,current,100,27,285,330,16x19,22/22/22,50,60,1 / 2 / 3,pending_verification,available,,,,,,
wilson-pro-staff-97-classic-v15-2026,Wilson,Wilson Pro Staff 97 Classic v15 (2026),Classic v15 (2026),2026,current,97,27,315,310,16x19,21.5/21.5/21.5,50,60,1 / 2 / 3 / 4,pending_verification,available,,,,,,
wilson-clash-100-v3-2025,Wilson,Wilson Clash 100 v3 (2025),v3 (2025),2025,current,100,27,295,310,16x19,24.5/24.5/24.5,50,60,1 / 2 / 3 / 4,pending_verification,available,,,,,,
wilson-clash-100-pro-v3-2025,Wilson,Wilson Clash 100 Pro v3 (2025),v3 (2025),2025,current,100,27,305,310,16x20,24.5/24.5/24.5,50,60,1 / 2 / 3 / 4,pending_verification,available,,,,,,
wilson-clash-100l-v3-2025,Wilson,Wilson Clash 100L v3 (2025),v3 (2025),2025,current,100,27,280,315,16x19,24.5,50,60,1 / 2 / 3,pending_verification,available,,,,,,
wilson-clash-108-v3-2025,Wilson,Wilson Clash 108 v3 (2025),v3 (2025),2025,current,108,27.25,280,335,16x19,24.5,50,60,1 / 2 / 3,pending_verification,available,,,,,,
wilson-ultra-100-v5-2025,Wilson,Wilson Ultra 100 v5 (2025),v5 (2025),2025,current,100,27,300,320,16x19,24/26.5/24.25,50,60,1 / 2 / 3 / 4,pending_verification,available,,,,,,
wilson-ultra-100l-v5-2025,Wilson,Wilson Ultra 100L v5 (2025),v5 (2025),2025,current,100,27,280,325,16x19,24/26.5/24.5,50,60,1 / 2 / 3,pending_verification,available,,,,,,
